, coef
const,    5.2527
equivalentSoundLevel_dBp,    0.0380
alphaRatioV_sma3nz_amean,    0.0716
logRelF0-H1-H2_sma3nz_amean,    0.0374
mfcc1V_sma3nz_stddevNorm,   -0.2374
jitterLocal_sma3nz_amean,    7.3574
mfcc2V_sma3nz_stddevNorm,   -0.0074
F0semitoneFrom27.5Hz_sma3nz_amean,    0.0359
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,    0.0021
slopeV500-1500_sma3nz_stddevNorm,    0.0005
slopeUV0-500_sma3nz_amean,   -1.5285
F1bandwidth_sma3nz_stddevNorm,   -1.0748
slopeUV500-1500_sma3nz_amean,    5.6954
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,   -0.0016
VoicedSegmentsPerSec,    0.0337
hammarbergIndexV_sma3nz_amean,    0.0263
logRelF0-H1-A3_sma3nz_amean,   -0.0170
