,features,VIF Factor
0,equivalentSoundLevel_dBp,3.658361877574984
1,alphaRatioV_sma3nz_stddevNorm,1.4083073481070305
2,spectralFluxUV_sma3nz_amean,2.5096983402652455
3,F3bandwidth_sma3nz_stddevNorm,1.3814509542635427
4,logRelF0-H1-H2_sma3nz_stddevNorm,1.1259475501783118
5,loudness_sma3_meanFallingSlope,5.0230474368143865
6,spectralFluxV_sma3nz_amean,6.5148198523893965
7,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,2.233217008529492
8,F2frequency_sma3nz_amean,1.6182244350720498
9,F2bandwidth_sma3nz_stddevNorm,1.5759153407476179
10,logRelF0-H1-A3_sma3nz_stddevNorm,1.7176051778512877
11,loudness_sma3_meanRisingSlope,9.208116366220558
12,loudness_sma3_stddevRisingSlope,5.080399995050157
13,HNRdBACF_sma3nz_amean,1.9209244029309958
14,slopeV500-1500_sma3nz_stddevNorm,1.1002944236953898
15,F1bandwidth_sma3nz_stddevNorm,1.293723939036514
16,mfcc2V_sma3nz_stddevNorm,1.1166826104027348
17,spectralFluxV_sma3nz_stddevNorm,1.2344755752676915
